	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
MetJ	0.1	0.04	0.01	0.11	0.01	0.03	0.0	0.0	0.0	0.13	0.01	0.06	0.01	0.11
MetR	0.07	0.06	0.12	0.0	0.03	0.04	0.26	0.05	0.02	0.0	0.12	0.07	0.08	0.03
MntR	0.14	0.11	0.12	0.01	0.06	0.02	0.11	0.0	0.0	0.0	0.1	0.15	0.09	0.1
ModE	0.02	0.01	0.03	0.0	0.0	0.01	0.14	0.0	0.0	0.0	0.0	0.06	0.08	0.03
NadQ	0.0	0.01	0.0	0.06	0.03	0.02	0.0	0.13	0.01	0.0	0.1	0.01	0.0	0.0
NagC	0.16	0.12	0.08	0.01	0.05	0.02	0.04	0.01	0.0	0.01	0.09	0.26	0.14	0.11
NagQ	0.0	0.02	0.03	0.04	0.0	0.04	0.01	0.0	0.11	0.03	0.0	0.05	0.02	0.02
NagR	0.09	0.06	0.12	0.01	0.13	0.03	0.03	0.0	0.01	0.0	0.11	0.17	0.03	0.04
NarP	0.05	0.02	0.02	0.0	0.0	0.02	0.0	0.29	0.0	0.03	0.0	0.02	0.01	0.02
NiaR	0.0	0.0	0.0	0.02	0.0	0.01	0.02	0.02	0.01	0.01	0.0	0.0	0.0	0.01
NifA	0.01	0.0	0.04	0.0	0.0	0.05	0.05	0.01	0.02	0.06	0.0	0.0	0.0	0.01
NikR	0.01	0.0	0.01	0.0	0.04	0.03	0.14	0.02	0.0	0.02	0.04	0.01	0.0	0.01
NmlR	0.0	0.0	0.0	0.0	0.01	0.0	0.03	0.01	0.02	0.04	0.04	0.02	0.0	0.05
NnrR	0.01	0.01	0.01	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.01	0.01	0.02	0.0
NorR	0.01	0.03	0.0	0.01	0.01	0.0	0.27	0.15	0.09	0.0	0.01	0.0	0.04	0.03
NrdR	0.41	0.33	0.07	0.01	0.01	0.05	0.11	0.0	0.01	0.0	0.02	0.12	0.07	0.11
NrtR	0.1	0.05	0.05	0.01	0.02	0.04	0.06	0.0	0.0	0.01	0.03	0.17	0.13	0.12
NsrR	0.09	0.07	0.09	0.0	0.03	0.04	0.09	0.02	0.0	0.0	0.05	0.13	0.03	0.02
NtrC	0.0	0.02	0.01	0.04	0.0	0.08	0.01	0.01	0.1	0.0	0.0	0.0	0.03	0.03
PaaR	0.0	0.0	0.01	0.05	0.01	0.0	0.03	0.01	0.0	0.0	0.06	0.02	0.02	0.04
PdhR	0.07	0.06	0.0	0.07	0.0	0.01	0.17	0.0	0.02	0.0	0.0	0.01	0.0	0.07
PdxR	0.01	0.01	0.0	0.0	0.0	0.0	0.11	0.01	0.01	0.0	0.0	0.0	0.0	0.0
PhnF	0.03	0.03	0.13	0.0	0.11	0.07	0.07	0.05	0.04	0.02	0.17	0.06	0.05	0.02
PhnR	0.0	0.01	0.0	0.01	0.0	0.0	0.04	0.02	0.08	0.0	0.0	0.0	0.0	0.01
Phr	0.08	0.06	0.13	0.0	0.02	0.09	0.09	0.02	0.01	0.01	0.03	0.11	0.07	0.16
PhrR	0.01	0.03	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.02	0.0
PhsR	0.01	0.01	0.01	0.01	0.0	0.03	0.03	0.04	0.01	0.0	0.0	0.0	0.01	0.04
PrpR	0.08	0.09	0.06	0.02	0.0	0.02	0.15	0.0	0.17	0.0	0.0	0.0	0.06	0.04
PsrA	0.11	0.06	0.05	0.01	0.01	0.06	0.1	0.0	0.0	0.04	0.02	0.07	0.0	0.01
PurR	0.03	0.04	0.05	0.03	0.01	0.0	0.12	0.06	0.02	0.02	0.02	0.03	0.02	0.01
QorR	0.02	0.03	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.05	0.01	0.0	0.01	0.11
RbkR	0.04	0.03	0.01	0.05	0.05	0.0	0.01	0.02	0.01	0.03	0.05	0.08	0.06	0.05
RbsR	0.01	0.0	0.0	0.0	0.01	0.0	0.02	0.02	0.01	0.0	0.02	0.0	0.02	0.07
Rex	0.04	0.02	0.04	0.0	0.06	0.0	0.0	0.01	0.02	0.0	0.14	0.14	0.07	0.04
RutR	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.04	0.0	0.0	0.01	0.0	0.0
SahR_SamR	0.11	0.07	0.09	0.0	0.03	0.05	0.09	0.0	0.0	0.0	0.09	0.1	0.1	0.07
SdaR	0.03	0.05	0.01	0.0	0.0	0.0	0.0	0.02	0.02	0.08	0.0	0.02	0.0	0.02
SiaR	0.03	0.06	0.02	0.01	0.0	0.0	0.01	0.02	0.06	0.01	0.01	0.01	0.05	0.01
SoxR	0.02	0.01	0.07	0.03	0.05	0.08	0.02	0.01	0.0	0.01	0.14	0.04	0.05	0.02
ThiR	0.08	0.04	0.03	0.06	0.05	0.03	0.0	0.01	0.02	0.03	0.11	0.12	0.09	0.05
TrpR	0.07	0.03	0.0	0.03	0.01	0.0	0.0	0.0	0.0	0.06	0.01	0.02	0.03	0.0
TtrR	0.07	0.15	0.04	0.01	0.01	0.0	0.48	0.09	0.22	0.01	0.15	0.0	0.01	0.0
TyrR	0.0	0.0	0.02	0.01	0.0	0.04	0.02	0.0	0.01	0.13	0.02	0.01	0.06	0.0
VanR	0.03	0.04	0.08	0.02	0.08	0.0	0.03	0.06	0.11	0.03	0.13	0.07	0.01	0.05
XylR	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.02	0.02	0.01	0.01	0.01	0.0
ZntR	0.01	0.01	0.03	0.01	0.01	0.0	0.03	0.0	0.01	0.02	0.02	0.02	0.08	0.02
Zur	0.03	0.01	0.02	0.02	0.0	0.02	0.11	0.0	0.0	0.0	0.0	0.03	0.06	0.02
