	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
NorR	0.0	0.08	0.03	0.02	0.02	0.13	0.04	0.03	0.01	0.0	0.14	0.06	0.01	0.08		
NrdR	0.13	0.16	0.03	0.13	0.01	0.05	0.0	0.06	0.0	0.01	0.0	0.01	0.0	0.13		
NrtR	0.17	0.02	0.03	0.03	0.04	0.14	0.0	0.0	0.06	0.16	0.07	0.26	0.07	0.0		
NsrR	0.18	0.17	0.04	0.06	0.04	0.05	0.07	0.03	0.03	0.2	0.11	0.09	0.0	0.05		
NtrC	0.0	0.04	0.11	0.05	0.0	0.01	0.08	0.06	0.01	0.05	0.05	0.01	0.01	0.04		
PaaR	0.04	0.0	0.0	0.0	0.07	0.02	0.02	0.01	0.02	0.04	0.09	0.15	0.05	0.02		
PdhR	0.0	0.0	0.11	0.09	0.02	0.01	0.0	0.03	0.07	0.1	0.03	0.03	0.02	0.03		
PdxR	0.12	0.04	0.05	0.03	0.01	0.03	0.08	0.22	0.1	0.06	0.01	0.07	0.01	0.33		
PhnF	0.06	0.1	0.01	0.03	0.02	0.03	0.16	0.09	0.0	0.05	0.01	0.01	0.03	0.11		
PhnR	0.01	0.01	0.08	0.06	0.11	0.14	0.06	0.0	0.07	0.03	0.11	0.0	0.13	0.06		
Phr	0.03	0.0	0.0	0.13	0.01	0.06	0.07	0.02	0.0	0.07	0.04	0.0	0.0	0.05		
PhrR	0.0	0.0	0.03	0.04	0.0	0.06	0.0	0.0	0.04	0.0	0.0	0.14	0.04	0.0		
PhsR	0.0	0.1	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.02	0.0	0.01	0.03		
PrpR	0.0	0.0	0.03	0.0	0.05	0.02	0.02	0.17	0.02	0.01	0.14	0.14	0.12	0.12		
PsrA	0.03	0.01	0.0	0.0	0.06	0.02	0.02	0.02	0.01	0.01	0.13	0.08	0.05	0.02		
PurR	0.1	0.11	0.01	0.06	0.0	0.11	0.01	0.12	0.02	0.02	0.18	0.06	0.0	0.19		
QorR	0.03	0.01	0.03	0.03	0.0	0.06	0.08	0.1	0.0	0.0	0.05	0.13	0.0	0.17		
RbkR	0.07	0.02	0.02	0.04	0.05	0.05	0.03	0.02	0.07	0.22	0.06	0.13	0.02	0.04		
