	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
QorR	0.11	0.01	0.04	0.03	0.02	0.01	0.11	0.16	0.08	0.16	0.05	0.03	0.01	0.05		
RbkR	0.0	0.02	0.02	0.0	0.05	0.02	0.03	0.02	0.02	0.0	0.0	0.0	0.0	0.05		
RbsR	0.0	0.0	0.06	0.04	0.01	0.01	0.01	0.0	0.0	0.01	0.01	0.0	0.11	0.01		
Rex	0.0	0.02	0.07	0.0	0.01	0.02	0.23	0.08	0.03	0.0	0.01	0.02	0.0	0.04		
RutR	0.01	0.0	0.02	0.0	0.02	0.02	0.09	0.05	0.0	0.02	0.0	0.04	0.04	0.05		
SahR_SamR	0.0	0.01	0.09	0.01	0.05	0.06	0.01	0.01	0.04	0.07	0.02	0.07	0.0	0.01		
SdaR	0.06	0.22	0.0	0.01	0.0	0.03	0.01	0.03	0.0	0.06	0.02	0.02	0.0	0.0		
SiaR	0.01	0.05	0.07	0.0	0.02	0.0	0.0	0.0	0.03	0.02	0.06	0.04	0.05	0.0		
SoxR	0.01	0.01	0.27	0.01	0.0	0.0	0.01	0.02	0.01	0.01	0.06	0.03	0.0	0.05		
ThiR	0.01	0.0	0.0	0.02	0.01	0.01	0.0	0.03	0.03	0.0	0.01	0.04	0.01	0.01		
TrpR	0.16	0.05	0.01	0.02	0.01	0.01	0.0	0.0	0.0	0.02	0.01	0.01	0.0	0.0		
TtrR	0.0	0.04	0.0	0.06	0.01	0.0	0.05	0.01	0.0	0.01	0.0	0.0	0.02	0.02		
TyrR	0.01	0.04	0.0	0.0	0.0	0.12	0.07	0.08	0.01	0.02	0.01	0.01	0.0	0.05		
VanR	0.0	0.0	0.01	0.1	0.01	0.01	0.04	0.01	0.01	0.04	0.01	0.01	0.01	0.0		
XylR	0.0	0.01	0.02	0.08	0.02	0.01	0.02	0.0	0.01	0.01	0.01	0.03	0.01	0.0		
ZntR	0.05	0.0	0.0	0.0	0.02	0.0	0.0	0.01	0.01	0.03	0.02	0.05	0.0	0.01		
Zur	0.0	0.04	0.2	0.04	0.2	0.0	0.01	0.01	0.0	0.0	0.04	0.01	0.07	0.03		
