	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.03	0.03	0.02	0.03	0.01	0.0	0.01	0.04	0.0	0.0	0.01	0.06	0.0	0.04
AgaR	0.59	0.57	0.35	0.19	0.2	0.0	0.01	0.01	0.0	0.02	0.02	0.01	0.0	0.02
AmtR	0.0	0.0	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.03	0.01	0.05	0.0	0.0
AraR	0.21	0.27	0.2	0.21	0.07	0.0	0.01	0.0	0.0	0.03	0.01	0.0	0.01	0.07
ArgR	0.14	0.13	0.13	0.04	0.08	0.0	0.01	0.0	0.01	0.04	0.01	0.01	0.01	0.02
BioQ	0.0	0.0	0.01	0.0	0.0	0.01	0.04	0.04	0.08	0.06	0.0	0.02	0.0	0.02
BirA	0.03	0.02	0.03	0.02	0.03	0.0	0.02	0.01	0.01	0.06	0.01	0.07	0.0	0.03
CadR-PbrR	0.03	0.02	0.0	0.02	0.0	0.01	0.09	0.0	0.01	0.04	0.01	0.0	0.03	0.02
CblR	0.01	0.03	0.0	0.0	0.0	0.0	0.01	0.03	0.01	0.0	0.0	0.01	0.03	0.03
CcpA	0.03	0.02	0.03	0.0	0.0	0.02	0.0	0.01	0.01	0.01	0.01	0.02	0.0	0.0
CsoR	0.24	0.2	0.18	0.08	0.13	0.01	0.01	0.0	0.01	0.0	0.04	0.0	0.1	0.05
CueR	0.05	0.06	0.05	0.01	0.02	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.04	0.03
CzrA	0.21	0.24	0.23	0.1	0.14	0.01	0.0	0.0	0.02	0.06	0.01	0.0	0.0	0.01
DasR	0.13	0.14	0.06	0.09	0.01	0.0	0.04	0.04	0.0	0.07	0.0	0.02	0.03	0.0
ExuR_UxuR	0.12	0.1	0.04	0.06	0.03	0.02	0.15	0.24	0.0	0.04	0.02	0.0	0.0	0.0
FUR	0.28	0.27	0.2	0.08	0.13	0.0	0.0	0.0	0.0	0.07	0.01	0.03	0.03	0.06
FabR	0.45	0.44	0.25	0.1	0.13	0.0	0.12	0.06	0.0	0.0	0.04	0.0	0.0	0.01
FadP	0.01	0.02	0.05	0.0	0.05	0.0	0.07	0.03	0.03	0.03	0.0	0.01	0.02	0.04
FadR	0.0	0.0	0.0	0.02	0.01	0.04	0.0	0.0	0.04	0.0	0.03	0.06	0.03	0.09
FixJ	0.04	0.04	0.05	0.05	0.02	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0
FnrN_FixK	0.06	0.09	0.03	0.0	0.0	0.02	0.05	0.01	0.01	0.0	0.02	0.02	0.01	0.0
FruR	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.07	0.11	0.08
GguR	0.3	0.24	0.16	0.08	0.1	0.01	0.22	0.17	0.0	0.01	0.04	0.0	0.0	0.0
GlcC	0.0	0.0	0.01	0.01	0.0	0.0	0.04	0.02	0.0	0.0	0.01	0.02	0.04	0.03
GntR	0.17	0.15	0.12	0.04	0.09	0.01	0.01	0.0	0.01	0.01	0.01	0.04	0.06	0.17
GulR	0.27	0.27	0.22	0.08	0.1	0.0	0.03	0.01	0.0	0.01	0.0	0.01	0.03	0.04
HcpR	0.05	0.05	0.02	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.01	0.0
HexR	0.13	0.12	0.09	0.13	0.03	0.02	0.02	0.09	0.01	0.01	0.0	0.01	0.0	0.0
HisR	0.18	0.2	0.18	0.06	0.01	0.0	0.07	0.06	0.01	0.01	0.0	0.01	0.0	0.01
HrcA	0.25	0.19	0.13	0.04	0.06	0.0	0.01	0.01	0.0	0.01	0.03	0.01	0.0	0.04
HutC	0.01	0.02	0.0	0.05	0.02	0.0	0.07	0.0	0.0	0.0	0.02	0.0	0.0	0.03
HypR	0.09	0.07	0.03	0.1	0.07	0.01	0.04	0.02	0.0	0.13	0.02	0.01	0.0	0.0
Irr	0.23	0.17	0.15	0.04	0.06	0.0	0.03	0.01	0.0	0.01	0.06	0.04	0.0	0.01
IscR	0.05	0.07	0.04	0.03	0.05	0.0	0.0	0.0	0.02	0.01	0.02	0.01	0.04	0.06
KdgR	0.29	0.23	0.21	0.06	0.1	0.0	0.0	0.0	0.01	0.04	0.02	0.07	0.0	0.06
LexA	0.39	0.39	0.24	0.18	0.14	0.0	0.04	0.03	0.01	0.0	0.07	0.01	0.0	0.02
LiuQ	0.0	0.02	0.0	0.04	0.02	0.04	0.02	0.0	0.01	0.0	0.0	0.07	0.0	0.01
LiuR	0.44	0.46	0.4	0.19	0.23	0.0	0.01	0.03	0.0	0.0	0.05	0.0	0.01	0.05
LldR	0.01	0.0	0.0	0.0	0.0	0.0	0.14	0.09	0.06	0.03	0.01	0.0	0.01	0.01
LtbR	0.07	0.07	0.0	0.05	0.03	0.0	0.01	0.05	0.0	0.03	0.0	0.01	0.01	0.03
MerR	0.05	0.04	0.05	0.03	0.02	0.0	0.0	0.01	0.01	0.05	0.0	0.02	0.01	0.01
