	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.0	0.01	0.03	0.01	0.0	0.04	0.02	0.03	0.01	0.0	0.01	0.12	0.01	0.03
AgaR	0.18	0.04	0.14	0.0	0.03	0.01	0.03	0.01	0.1	0.01	0.04	0.17	0.03	0.12
AmtR	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.02	0.0	0.01	0.01	0.02
AraR	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.01	0.03	0.0	0.08	0.01	0.03
ArgR	0.0	0.01	0.02	0.01	0.0	0.01	0.0	0.0	0.0	0.03	0.01	0.09	0.02	0.03
BioQ	0.03	0.0	0.04	0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.01	0.15	0.05	0.07
BirA	0.01	0.02	0.02	0.01	0.0	0.02	0.0	0.0	0.0	0.03	0.01	0.14	0.0	0.02
CadR-PbrR	0.01	0.02	0.04	0.1	0.03	0.01	0.0	0.02	0.02	0.16	0.01	0.05	0.01	0.01
CblR	0.01	0.06	0.02	0.0	0.04	0.01	0.03	0.06	0.1	0.0	0.01	0.0	0.07	0.11
CcpA	0.01	0.01	0.0	0.02	0.02	0.04	0.01	0.0	0.0	0.03	0.0	0.09	0.0	0.02
CsoR	0.0	0.04	0.01	0.0	0.0	0.0	0.0	0.0	0.02	0.05	0.05	0.05	0.0	0.0
CueR	0.0	0.0	0.01	0.04	0.0	0.0	0.0	0.0	0.03	0.05	0.0	0.04	0.04	0.08
CzrA	0.0	0.01	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.05	0.0	0.01
DasR	0.02	0.08	0.01	0.01	0.0	0.02	0.02	0.0	0.0	0.05	0.01	0.05	0.09	0.03
