	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.06	0.02	0.01	0.01	0.0	0.0	0.07	0.1	0.0	0.0	0.0	0.04	0.05	0.02	0.01	0.01
AgaR	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.02	0.01	0.01	0.0	0.0	0.0
AmtR	0.0	0.1	0.1	0.0	0.01	0.01	0.03	0.01	0.07	0.0	0.04	0.03	0.02	0.04	0.0	0.02
AraR	0.18	0.04	0.06	0.01	0.02	0.05	0.18	0.13	0.02	0.0	0.05	0.04	0.02	0.14	0.03	0.03
ArgR	0.21	0.17	0.01	0.02	0.01	0.04	0.3	0.17	0.02	0.01	0.02	0.03	0.0	0.16	0.06	0.05
BioQ	0.04	0.0	0.02	0.0	0.02	0.0	0.02	0.01	0.01	0.0	0.02	0.02	0.1	0.01	0.04	0.1
BirA	0.17	0.15	0.01	0.07	0.01	0.03	0.27	0.25	0.0	0.01	0.04	0.17	0.0	0.19	0.0	0.01
CadR-PbrR	0.01	0.01	0.0	0.0	0.0	0.02	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01
CblR	0.05	0.1	0.01	0.01	0.0	0.02	0.11	0.06	0.0	0.0	0.0	0.02	0.01	0.04	0.03	0.0
CcpA	0.07	0.01	0.0	0.01	0.01	0.0	0.05	0.0	0.0	0.03	0.0	0.04	0.05	0.0	0.0	0.0
CsoR	0.01	0.01	0.01	0.0	0.04	0.04	0.0	0.0	0.01	0.0	0.01	0.0	0.09	0.0	0.09	0.06
CueR	0.13	0.08	0.0	0.0	0.0	0.0	0.2	0.12	0.01	0.01	0.01	0.03	0.01	0.16	0.0	0.0
CzrA	0.25	0.19	0.0	0.01	0.03	0.03	0.36	0.26	0.0	0.0	0.04	0.04	0.03	0.31	0.01	0.0
DasR	0.04	0.0	0.0	0.01	0.03	0.0	0.03	0.02	0.0	0.03	0.03	0.0	0.22	0.02	0.01	0.02
ExuR_UxuR	0.05	0.1	0.0	0.0	0.01	0.16	0.05	0.03	0.02	0.01	0.04	0.02	0.0	0.03	0.02	0.06
FUR	0.31	0.13	0.02	0.02	0.03	0.06	0.32	0.2	0.02	0.0	0.01	0.14	0.02	0.19	0.04	0.07
FabR	0.04	0.0	0.04	0.0	0.0	0.0	0.01	0.01	0.0	0.02	0.09	0.0	0.01	0.0	0.01	0.03
FadP	0.01	0.03	0.01	0.01	0.0	0.01	0.08	0.03	0.0	0.0	0.0	0.02	0.0	0.02	0.02	0.01
FadR	0.03	0.04	0.0	0.01	0.01	0.0	0.04	0.03	0.0	0.08	0.04	0.0	0.11	0.02	0.0	0.01
FixJ	0.09	0.0	0.03	0.02	0.0	0.01	0.05	0.03	0.0	0.03	0.05	0.05	0.05	0.02	0.01	0.02
FnrN_FixK	0.04	0.08	0.03	0.01	0.01	0.01	0.1	0.07	0.0	0.01	0.0	0.02	0.02	0.08	0.02	0.0
FruR	0.05	0.05	0.0	0.0	0.03	0.06	0.07	0.04	0.01	0.0	0.01	0.03	0.15	0.03	0.0	0.0
GguR	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.02	0.0	0.02	0.0	0.02	0.01	0.0	0.0
GlcC	0.0	0.02	0.04	0.0	0.03	0.0	0.03	0.0	0.0	0.0	0.02	0.06	0.18	0.0	0.01	0.03
GntR	0.04	0.09	0.01	0.02	0.0	0.03	0.1	0.08	0.0	0.0	0.0	0.01	0.06	0.14	0.0	0.0
GulR	0.07	0.04	0.01	0.0	0.0	0.05	0.08	0.01	0.01	0.0	0.01	0.0	0.0	0.05	0.02	0.02
